Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T11:46:24.9600000-03:00,0.000000000E+000,1.795885835E-002,2.578826256E-004,1.605872428E-002,3.908715912E+002,4.890007526E-002
2017-06-27T11:46:25.9800000-03:00,1.020000000E+000,1.823455683E-002,2.535873085E-004,1.592442490E-002,3.908806187E+002,4.855628684E-002
2017-06-27T11:46:26.9800000-03:00,2.020000000E+000,1.834836760E-002,2.545091933E-004,1.595334427E-002,3.908606346E+002,4.972057417E-002
2017-06-27T11:46:27.9800000-03:00,3.020000000E+000,1.752851485E-002,2.530296983E-004,1.590690725E-002,3.908738983E+002,4.995200038E-002
2017-06-27T11:46:28.9800000-03:00,4.020000000E+000,1.835972477E-002,2.634456986E-004,1.623101040E-002,3.908454053E+002,5.120535940E-002
2017-06-27T11:46:29.9800000-03:00,5.020000000E+000,1.836582489E-002,2.554154816E-004,1.598172336E-002,3.908403589E+002,5.054203793E-002
2017-06-27T11:46:30.9800000-03:00,6.020000000E+000,1.883350193E-002,2.619347993E-004,1.618439988E-002,3.908666599E+002,5.076121539E-002
2017-06-27T11:46:31.9800000-03:00,7.020000000E+000,1.798255527E-002,2.450792928E-004,1.565500855E-002,3.908673613E+002,4.972364008E-002
2017-06-27T11:46:32.9800000-03:00,8.020000000E+000,1.883676554E-002,2.523964158E-004,1.588698888E-002,3.908362916E+002,5.005413294E-002
2017-06-27T11:46:33.9800000-03:00,9.020000000E+000,1.770651577E-002,2.625647670E-004,1.620385037E-002,3.908683551E+002,4.909028113E-002
2017-06-27T11:46:34.9800000-03:00,1.002000000E+001,1.792101615E-002,2.524765133E-004,1.588950954E-002,3.908855951E+002,4.820566997E-002
2017-06-27T11:46:35.9800000-03:00,1.102000000E+001,1.874571852E-002,2.591173796E-004,1.609712333E-002,3.908508098E+002,4.951392859E-002
2017-06-27T11:46:36.9800000-03:00,1.202000000E+001,1.832235988E-002,2.674934492E-004,1.635522697E-002,3.908659185E+002,5.230356008E-002
2017-06-27T11:46:37.9800000-03:00,1.302000000E+001,1.842566812E-002,2.796473985E-004,1.672266123E-002,3.908796400E+002,5.248896033E-002
2017-06-27T11:46:38.9800000-03:00,1.402000000E+001,1.803570338E-002,2.603222892E-004,1.613450617E-002,3.908769729E+002,4.924619943E-002
2017-06-27T11:46:39.9800000-03:00,1.502000000E+001,1.840553731E-002,2.421222295E-004,1.556027729E-002,3.908496324E+002,4.988243803E-002
2017-06-27T11:46:40.9800000-03:00,1.602000000E+001,1.900709270E-002,2.626544249E-004,1.620661670E-002,3.908679230E+002,5.077134818E-002
2017-06-27T11:46:41.9800000-03:00,1.702000000E+001,1.819159796E-002,2.409536082E-004,1.552268045E-002,3.908619609E+002,4.996712878E-002
2017-06-27T11:46:42.9800000-03:00,1.802000000E+001,1.835283222E-002,2.545898404E-004,1.595587166E-002,3.908535810E+002,5.025016889E-002
2017-06-27T11:46:43.9800000-03:00,1.902000000E+001,1.794370202E-002,2.669615266E-004,1.633895733E-002,3.909005326E+002,5.172474310E-002
2017-06-27T11:46:44.9800000-03:00,2.002000000E+001,1.783846633E-002,2.692013172E-004,1.640735558E-002,3.908974980E+002,4.879862815E-002
2017-06-27T11:46:45.9700000-03:00,2.101000000E+001,1.831238828E-002,2.589857031E-004,1.609303275E-002,3.908579595E+002,5.149268731E-002
2017-06-27T11:46:46.9700000-03:00,2.201000000E+001,1.780343257E-002,2.678429459E-004,1.636590804E-002,3.908615634E+002,5.137581006E-002
2017-06-27T11:46:47.9700000-03:00,2.301000000E+001,1.840975747E-002,2.590828129E-004,1.609604961E-002,3.908513868E+002,5.132580549E-002
2017-06-27T11:46:48.9700000-03:00,2.401000000E+001,1.773315445E-002,2.445810642E-004,1.563908770E-002,3.908761626E+002,5.250220373E-002
2017-06-27T11:46:49.9700000-03:00,2.501000000E+001,1.832716717E-002,2.550035786E-004,1.596883147E-002,3.908422957E+002,4.944877326E-002
2017-06-27T11:46:50.9700000-03:00,2.601000000E+001,1.830504771E-002,2.592918936E-004,1.610254308E-002,3.908830159E+002,5.191426352E-002
2017-06-27T11:46:51.9700000-03:00,2.701000000E+001,1.783397532E-002,2.615103685E-004,1.617128222E-002,3.908701297E+002,4.984452575E-002
2017-06-27T11:46:52.9700000-03:00,2.801000000E+001,1.775391386E-002,2.625422342E-004,1.620315507E-002,3.908621381E+002,5.017089471E-002
2017-06-27T11:46:53.9700000-03:00,2.901000000E+001,1.839020425E-002,2.340228830E-004,1.529780648E-002,3.908264596E+002,4.881134629E-002
2017-06-27T11:46:54.9700000-03:00,3.001000000E+001,1.838651558E-002,2.512477943E-004,1.585079791E-002,3.908361471E+002,4.917450994E-002
2017-06-27T11:46:55.9700000-03:00,3.101000000E+001,1.857945973E-002,2.624377947E-004,1.619993194E-002,3.908550336E+002,5.088832602E-002
2017-06-27T11:46:56.9700000-03:00,3.201000000E+001,1.785322606E-002,2.372376317E-004,1.540252030E-002,3.908744777E+002,4.860651121E-002
2017-06-27T11:46:57.9700000-03:00,3.301000000E+001,1.796298082E-002,2.663850960E-004,1.632130804E-002,3.908770623E+002,5.076557025E-002
2017-06-27T11:46:58.9700000-03:00,3.401000000E+001,1.799355764E-002,2.496128077E-004,1.579913946E-002,3.908758513E+002,5.010043457E-002
2017-06-27T11:46:59.9700000-03:00,3.501000000E+001,1.820118981E-002,2.700853561E-004,1.643427382E-002,3.908930434E+002,5.135738105E-002
2017-06-27T11:47:00.9700000-03:00,3.601000000E+001,1.828614897E-002,2.480848822E-004,1.575071053E-002,3.908474813E+002,4.988740012E-002
2017-06-27T11:47:01.9700000-03:00,3.701000000E+001,1.890138708E-002,2.650773389E-004,1.628119587E-002,3.908660297E+002,5.267875642E-002
2017-06-27T11:47:02.9700000-03:00,3.801000000E+001,1.879429009E-002,2.505042596E-004,1.582732636E-002,3.908331956E+002,4.930765554E-002
2017-06-27T11:47:03.9700000-03:00,3.901000000E+001,1.841404124E-002,2.663715180E-004,1.632089207E-002,3.908438104E+002,4.852440581E-002
2017-06-27T11:47:04.9700000-03:00,4.001000000E+001,1.821616288E-002,2.569987794E-004,1.603118147E-002,3.908523486E+002,4.899695143E-002
2017-06-27T11:47:05.9800000-03:00,4.102000000E+001,1.866938733E-002,2.502955735E-004,1.582073239E-002,3.908732384E+002,5.031921715E-002
2017-06-27T11:47:06.9800000-03:00,4.202000000E+001,1.838293796E-002,2.604712414E-004,1.613912146E-002,3.908373943E+002,5.298455432E-002
2017-06-27T11:47:07.9800000-03:00,4.302000000E+001,1.864416444E-002,2.527285744E-004,1.589743924E-002,3.908492947E+002,5.033271015E-002
2017-06-27T11:47:08.9800000-03:00,4.402000000E+001,1.857717323E-002,2.602975770E-004,1.613374033E-002,3.908633085E+002,4.998708889E-002
2017-06-27T11:47:09.9800000-03:00,4.502000000E+001,1.819792689E-002,2.554387742E-004,1.598245207E-002,3.908492965E+002,5.067142844E-002
2017-06-27T11:47:10.9800000-03:00,4.602000000E+001,1.929347343E-002,2.544711306E-004,1.595215128E-002,3.908314983E+002,5.258276314E-002
2017-06-27T11:47:11.9800000-03:00,4.702000000E+001,1.849585533E-002,2.599869833E-004,1.612411186E-002,3.908428764E+002,4.910968617E-002
2017-06-27T11:47:12.9800000-03:00,4.802000000E+001,1.893828224E-002,2.686779882E-004,1.639139982E-002,3.908568249E+002,5.237242579E-002
2017-06-27T11:47:13.9800000-03:00,4.902000000E+001,1.828148834E-002,2.528900301E-004,1.590251647E-002,3.908707636E+002,5.081612989E-002
2017-06-27T11:47:14.9800000-03:00,5.002000000E+001,1.839672224E-002,2.468603128E-004,1.571178898E-002,3.908588121E+002,4.986741021E-002
2017-06-27T11:47:15.9800000-03:00,5.102000000E+001,1.863316556E-002,2.448328551E-004,1.564713568E-002,3.908526102E+002,4.915803671E-002
2017-06-27T11:47:16.9800000-03:00,5.202000000E+001,1.844984708E-002,2.667714530E-004,1.633313972E-002,3.908812041E+002,4.995764419E-002
2017-06-27T11:47:17.9800000-03:00,5.302000000E+001,1.844416706E-002,2.580976055E-004,1.606541644E-002,3.908497068E+002,5.001520738E-002
2017-06-27T11:47:18.9800000-03:00,5.402000000E+001,1.870269280E-002,2.725348406E-004,1.650862928E-002,3.908735441E+002,5.396955833E-002
2017-06-27T11:47:19.9800000-03:00,5.502000000E+001,1.792973307E-002,2.517001222E-004,1.586505979E-002,3.908607109E+002,5.135595798E-002
2017-06-27T11:47:20.9800000-03:00,5.602000000E+001,1.910131065E-002,2.710240710E-004,1.646280872E-002,3.908629731E+002,5.234810337E-002
2017-06-27T11:47:21.9800000-03:00,5.702000000E+001,1.805061203E-002,2.516236645E-004,1.586264998E-002,3.908610790E+002,5.193693191E-002
2017-06-27T11:47:22.9800000-03:00,5.802000000E+001,1.792807538E-002,2.663798355E-004,1.632114688E-002,3.908858168E+002,5.022037774E-002
2017-06-27T11:47:23.9800000-03:00,5.902000000E+001,1.816380050E-002,2.540031552E-004,1.593747644E-002,3.908793311E+002,5.122780800E-002
2017-06-27T11:47:24.9700000-03:00,6.001000000E+001,1.820347510E-002,2.404698058E-004,1.550708889E-002,3.908360963E+002,4.782049730E-002
2017-06-27T11:47:25.9700000-03:00,6.101000000E+001,1.793605704E-002,2.472065657E-004,1.572280400E-002,3.908582183E+002,5.029812083E-002
2017-06-27T11:47:26.9700000-03:00,6.201000000E+001,1.797705284E-002,2.565472884E-004,1.601709363E-002,3.908679514E+002,5.067242309E-002
2017-06-27T11:47:27.9700000-03:00,6.301000000E+001,1.814653781E-002,2.627094812E-004,1.620831519E-002,3.908904502E+002,5.271650106E-002
2017-06-27T11:47:28.9700000-03:00,6.401000000E+001,1.880117054E-002,2.745814860E-004,1.657050047E-002,3.908797752E+002,5.134256184E-002
2017-06-27T11:47:29.9700000-03:00,6.501000000E+001,1.837605578E-002,2.523085420E-004,1.588422305E-002,3.908553374E+002,5.031312630E-002
2017-06-27T11:47:30.9700000-03:00,6.601000000E+001,1.780575236E-002,2.476273244E-004,1.573617884E-002,3.908731395E+002,4.929191247E-002
2017-06-27T11:47:31.9700000-03:00,6.701000000E+001,1.839885045E-002,2.737258654E-004,1.654466275E-002,3.908848444E+002,5.279807746E-002
2017-06-27T11:47:32.9700000-03:00,6.801000000E+001,1.853521690E-002,2.795906790E-004,1.672096525E-002,3.908812053E+002,5.228354782E-002
2017-06-27T11:47:33.9700000-03:00,6.901000000E+001,1.788239821E-002,2.484139669E-004,1.576115373E-002,3.908592779E+002,4.898582026E-002
2017-06-27T11:47:34.9700000-03:00,7.001000000E+001,1.857566548E-002,2.607893768E-004,1.614897448E-002,3.908374657E+002,5.135890096E-002
2017-06-27T11:47:35.9700000-03:00,7.101000000E+001,1.832019002E-002,2.554927298E-004,1.598413995E-002,3.908530159E+002,5.010734126E-002
2017-06-27T11:47:36.9700000-03:00,7.201000000E+001,1.794769288E-002,2.540276083E-004,1.593824358E-002,3.908550047E+002,4.890266806E-002
2017-06-27T11:47:37.9700000-03:00,7.301000000E+001,1.803757373E-002,2.545272516E-004,1.595391023E-002,3.908529189E+002,5.073039606E-002
2017-06-27T11:47:38.9700000-03:00,7.401000000E+001,1.793175699E-002,2.542164321E-004,1.594416608E-002,3.908777137E+002,5.143976212E-002
2017-06-27T11:47:39.9700000-03:00,7.501000000E+001,1.796781899E-002,2.573181863E-004,1.604114043E-002,3.908801891E+002,4.945984110E-002
2017-06-27T11:47:40.9700000-03:00,7.601000000E+001,1.740860696E-002,2.437678131E-004,1.561306546E-002,3.908568029E+002,4.755137861E-002
2017-06-27T11:47:41.9700000-03:00,7.701000000E+001,1.824950536E-002,2.645389984E-004,1.626465488E-002,3.908795765E+002,4.941055551E-002
2017-06-27T11:47:42.9700000-03:00,7.801000000E+001,1.787341398E-002,2.643493212E-004,1.625882287E-002,3.908748884E+002,5.247779191E-002
2017-06-27T11:47:43.9700000-03:00,7.901000000E+001,1.907476036E-002,2.701070206E-004,1.643493293E-002,3.908611673E+002,4.932439327E-002
2017-06-27T11:47:44.9700000-03:00,8.001000000E+001,1.823321324E-002,2.554442371E-004,1.598262297E-002,3.908594040E+002,4.954672232E-002
2017-06-27T11:47:45.9700000-03:00,8.101000000E+001,1.899939070E-002,2.618237554E-004,1.618096893E-002,3.908625935E+002,5.205683410E-002
