Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T11:34:24.6800000-03:00,0.000000000E+000,3.311439026E-002,7.127962814E-004,2.669824491E-002,7.771275197E+002,7.700902969E-002
2017-06-27T11:34:25.6800000-03:00,1.000000000E+000,3.189354189E-002,7.064595072E-004,2.657930600E-002,7.771333364E+002,7.559096068E-002
2017-06-27T11:34:26.6800000-03:00,2.000000000E+000,3.316544365E-002,7.355813079E-004,2.712160224E-002,7.771356191E+002,7.535285503E-002
2017-06-27T11:34:27.6900000-03:00,3.010000000E+000,3.272490999E-002,7.118222202E-004,2.667999663E-002,7.771374022E+002,7.628424466E-002
2017-06-27T11:34:28.6900000-03:00,4.010000000E+000,3.226468102E-002,7.222043606E-004,2.687386017E-002,7.771347951E+002,7.455007732E-002
2017-06-27T11:34:29.6900000-03:00,5.010000000E+000,3.243840873E-002,6.734662362E-004,2.595122803E-002,7.771260545E+002,7.279437780E-002
2017-06-27T11:34:30.6900000-03:00,6.010000000E+000,3.158685804E-002,7.037036729E-004,2.652741361E-002,7.771412701E+002,7.395125180E-002
2017-06-27T11:34:31.7000000-03:00,7.020000000E+000,3.237895445E-002,7.177669169E-004,2.679117237E-002,7.771280843E+002,7.537607104E-002
2017-06-27T11:34:32.7000000-03:00,8.020000000E+000,3.183998995E-002,6.885934359E-004,2.624106392E-002,7.771267175E+002,7.369641960E-002
2017-06-27T11:34:33.7000000-03:00,9.020000000E+000,3.237307440E-002,6.770229115E-004,2.601966394E-002,7.771336453E+002,7.463352382E-002
2017-06-27T11:34:34.7100000-03:00,1.003000000E+001,3.255156495E-002,7.201055859E-004,2.683478313E-002,7.771412881E+002,7.598709315E-002
2017-06-27T11:34:35.7100000-03:00,1.103000000E+001,3.172008465E-002,6.950234959E-004,2.636329827E-002,7.771363319E+002,7.394853979E-002
2017-06-27T11:34:36.7000000-03:00,1.202000000E+001,3.251369900E-002,6.967407556E-004,2.639584732E-002,7.771383117E+002,7.584442198E-002
2017-06-27T11:34:37.7000000-03:00,1.302000000E+001,3.310100103E-002,6.992858110E-004,2.644401276E-002,7.771303573E+002,7.368413359E-002
2017-06-27T11:34:38.7100000-03:00,1.403000000E+001,3.213920573E-002,6.787545062E-004,2.605291742E-002,7.771306036E+002,7.504091412E-002
2017-06-27T11:34:39.7100000-03:00,1.503000000E+001,3.195563149E-002,6.771000609E-004,2.602114642E-002,7.771262813E+002,7.536452264E-002
2017-06-27T11:34:40.7100000-03:00,1.603000000E+001,3.306246960E-002,7.245403891E-004,2.691728792E-002,7.771384172E+002,7.685333490E-002
2017-06-27T11:34:41.7100000-03:00,1.703000000E+001,3.161016600E-002,6.425360049E-004,2.534829392E-002,7.771305600E+002,7.088301331E-002
2017-06-27T11:34:42.7200000-03:00,1.804000000E+001,3.256090030E-002,7.238900150E-004,2.690520424E-002,7.771324370E+002,7.273676246E-002
2017-06-27T11:34:43.7200000-03:00,1.904000000E+001,3.265451090E-002,6.966669508E-004,2.639444924E-002,7.771230311E+002,7.509810477E-002
2017-06-27T11:34:44.7200000-03:00,2.004000000E+001,3.288069334E-002,7.118965244E-004,2.668138910E-002,7.771335160E+002,7.384496182E-002
2017-06-27T11:34:45.7200000-03:00,2.104000000E+001,3.225769384E-002,6.874663636E-004,2.621957978E-002,7.771295958E+002,7.569721341E-002
2017-06-27T11:34:46.7300000-03:00,2.205000000E+001,3.324232960E-002,7.139506617E-004,2.671985520E-002,7.771206738E+002,7.670251280E-002
2017-06-27T11:34:47.7300000-03:00,2.305000000E+001,3.245724063E-002,6.992670675E-004,2.644365836E-002,7.771297978E+002,7.739021629E-002
2017-06-27T11:34:48.7300000-03:00,2.405000000E+001,3.203905008E-002,7.023395889E-004,2.650169030E-002,7.771349725E+002,7.633917779E-002
2017-06-27T11:34:49.7300000-03:00,2.505000000E+001,3.190997389E-002,6.864326244E-004,2.619985924E-002,7.771253602E+002,7.537412643E-002
2017-06-27T11:34:50.7300000-03:00,2.605000000E+001,3.135316835E-002,6.763702767E-004,2.600711973E-002,7.771343140E+002,7.221397012E-002
2017-06-27T11:34:51.7300000-03:00,2.705000000E+001,3.286138573E-002,6.640339510E-004,2.576885622E-002,7.771372108E+002,7.462592423E-002
2017-06-27T11:34:52.7300000-03:00,2.805000000E+001,3.228236621E-002,6.917534275E-004,2.630120582E-002,7.771365882E+002,7.418835908E-002
2017-06-27T11:34:53.7300000-03:00,2.905000000E+001,3.144745002E-002,6.674516761E-004,2.583508614E-002,7.771200108E+002,7.311636955E-002
2017-06-27T11:34:54.7300000-03:00,3.005000000E+001,3.207681179E-002,7.513040215E-004,2.740992560E-002,7.771182070E+002,7.618975639E-002
2017-06-27T11:34:55.7300000-03:00,3.105000000E+001,3.223091980E-002,7.293453482E-004,2.700639458E-002,7.771334220E+002,7.548768073E-002
2017-06-27T11:34:56.7400000-03:00,3.206000000E+001,3.219333621E-002,7.233361519E-004,2.689490940E-002,7.771230146E+002,7.327922434E-002
2017-06-27T11:34:57.7400000-03:00,3.306000000E+001,3.307724168E-002,7.264610480E-004,2.695294136E-002,7.771249890E+002,7.670731843E-002
2017-06-27T11:34:58.7400000-03:00,3.406000000E+001,3.263695697E-002,7.316619802E-004,2.704925101E-002,7.771252275E+002,7.705119997E-002
