Statistics_Analysis_Results, , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Max Value[Intensity]
2017-06-27T11:13:49.1800000-03:00,0.000000000E+000,3.016832607E-002,1.220624373E-003,3.493743512E-002,7.771894561E+002,1.050081775E-001
2017-06-27T11:13:50.1900000-03:00,1.010000000E+000,2.966933580E-002,1.168360417E-003,3.418128753E-002,7.771948729E+002,1.016007811E-001
2017-06-27T11:13:51.1800000-03:00,2.000000000E+000,2.981784752E-002,1.194343041E-003,3.455926853E-002,7.771942423E+002,1.022617891E-001
2017-06-27T11:13:52.1700000-03:00,2.990000000E+000,2.952214245E-002,1.238648120E-003,3.519443308E-002,7.771967623E+002,1.062111706E-001
2017-06-27T11:13:53.1700000-03:00,3.990000000E+000,2.949220128E-002,1.178761786E-003,3.433310045E-002,7.771991666E+002,1.044216156E-001
2017-06-27T11:13:54.1700000-03:00,4.990000000E+000,2.998025650E-002,1.201154131E-003,3.465767059E-002,7.771991320E+002,1.050490811E-001
2017-06-27T11:13:55.1700000-03:00,5.990000000E+000,2.957748883E-002,1.221097537E-003,3.494420606E-002,7.772009400E+002,1.045946702E-001
2017-06-27T11:13:56.1700000-03:00,6.990000000E+000,2.997549502E-002,1.245896719E-003,3.529726220E-002,7.771983434E+002,1.052735150E-001
2017-06-27T11:13:57.1600000-03:00,7.980000000E+000,2.958354542E-002,1.206060431E-003,3.472838077E-002,7.772091724E+002,1.007653847E-001
2017-06-27T11:13:58.1600000-03:00,8.980000000E+000,2.982556498E-002,1.208778494E-003,3.476749191E-002,7.772033165E+002,1.054691374E-001
2017-06-27T11:13:59.1600000-03:00,9.980000000E+000,2.978756088E-002,1.193133841E-003,3.454176951E-002,7.772118376E+002,1.025380269E-001
2017-06-27T11:14:00.1600000-03:00,1.098000000E+001,2.955543366E-002,1.210273718E-003,3.478898846E-002,7.771972912E+002,1.042655781E-001
2017-06-27T11:14:01.1600000-03:00,1.198000000E+001,2.955140149E-002,1.154945527E-003,3.398448951E-002,7.772040299E+002,1.020049676E-001
2017-06-27T11:14:02.1600000-03:00,1.298000000E+001,2.995390752E-002,1.154257286E-003,3.397436219E-002,7.772061063E+002,1.007595584E-001
2017-06-27T11:14:03.1500000-03:00,1.397000000E+001,3.000766162E-002,1.166550370E-003,3.415480011E-002,7.772082128E+002,1.032906845E-001
2017-06-27T11:14:04.1500000-03:00,1.497000000E+001,2.944215469E-002,1.208321593E-003,3.476092049E-002,7.771827427E+002,1.013010591E-001
2017-06-27T11:14:05.1500000-03:00,1.597000000E+001,2.908652310E-002,1.193362357E-003,3.454507717E-002,7.772108293E+002,1.012386456E-001
2017-06-27T11:14:06.1500000-03:00,1.697000000E+001,2.932742997E-002,1.178421731E-003,3.432814780E-002,7.772111137E+002,1.036053151E-001
2017-06-27T11:14:07.1500000-03:00,1.797000000E+001,2.976876427E-002,1.214288530E-003,3.484664302E-002,7.772016042E+002,1.038659215E-001
2017-06-27T11:14:08.1400000-03:00,1.896000000E+001,3.001160885E-002,1.240297776E-003,3.521786161E-002,7.771992662E+002,1.035614312E-001
2017-06-27T11:14:09.1400000-03:00,1.996000000E+001,2.957545777E-002,1.182850876E-003,3.439259914E-002,7.772026057E+002,1.031242982E-001
2017-06-27T11:14:10.1400000-03:00,2.096000000E+001,2.956861178E-002,1.196974129E-003,3.459731390E-002,7.771962965E+002,1.051030383E-001
2017-06-27T11:14:11.1400000-03:00,2.196000000E+001,2.952507486E-002,1.203370048E-003,3.468962450E-002,7.771854449E+002,1.036781073E-001
2017-06-27T11:14:12.1400000-03:00,2.296000000E+001,3.003774732E-002,1.272913664E-003,3.567791564E-002,7.772009783E+002,1.045902371E-001
2017-06-27T11:14:13.1300000-03:00,2.395000000E+001,3.020689522E-002,1.191333962E-003,3.451570601E-002,7.772172570E+002,1.023156568E-001
2017-06-27T11:14:14.1300000-03:00,2.495000000E+001,2.956602296E-002,1.183182775E-003,3.439742396E-002,7.771928622E+002,1.040540338E-001
2017-06-27T11:14:15.1300000-03:00,2.595000000E+001,3.027347371E-002,1.203538745E-003,3.469205594E-002,7.772075789E+002,1.029930413E-001
2017-06-27T11:14:16.1300000-03:00,2.695000000E+001,2.961218713E-002,1.198445717E-003,3.461857473E-002,7.772001584E+002,1.005886793E-001
2017-06-27T11:14:17.1300000-03:00,2.795000000E+001,2.959683374E-002,1.249427649E-003,3.534724387E-002,7.771875394E+002,1.029227301E-001
2017-06-27T11:14:18.1200000-03:00,2.894000000E+001,3.038047064E-002,1.206847613E-003,3.473971234E-002,7.772113014E+002,1.048065946E-001
2017-06-27T11:14:19.1200000-03:00,2.994000000E+001,2.946742633E-002,1.221741440E-003,3.495341814E-002,7.772107328E+002,1.005688012E-001
2017-06-27T11:14:20.1100000-03:00,3.093000000E+001,3.016496215E-002,1.226779348E-003,3.502541003E-002,7.771886004E+002,1.048493758E-001
2017-06-27T11:14:21.1100000-03:00,3.193000000E+001,2.917996769E-002,1.208191007E-003,3.475904209E-002,7.771866075E+002,1.041798815E-001
2017-06-27T11:14:22.1100000-03:00,3.293000000E+001,2.987881688E-002,1.259176180E-003,3.548487255E-002,7.772088450E+002,1.066011935E-001
2017-06-27T11:14:23.1100000-03:00,3.393000000E+001,2.993857618E-002,1.206485883E-003,3.473450565E-002,7.771921984E+002,1.019765958E-001
2017-06-27T11:14:24.1000000-03:00,3.492000000E+001,2.938773045E-002,1.243836058E-003,3.526806003E-002,7.771972156E+002,1.058483645E-001
2017-06-27T11:14:25.1000000-03:00,3.592000000E+001,2.959661205E-002,1.233776459E-003,3.512515422E-002,7.771876359E+002,1.010840237E-001
2017-06-27T11:14:26.1000000-03:00,3.692000000E+001,2.957790491E-002,1.205262456E-003,3.471689006E-002,7.772074455E+002,1.037644371E-001
2017-06-27T11:14:27.1000000-03:00,3.792000000E+001,2.978859582E-002,1.190986326E-003,3.451066974E-002,7.772000768E+002,1.048608571E-001
2017-06-27T11:14:28.1000000-03:00,3.892000000E+001,2.972451389E-002,1.159588558E-003,3.405273202E-002,7.772152009E+002,9.981136024E-002
2017-06-27T11:14:29.0900000-03:00,3.991000000E+001,2.970979351E-002,1.177719146E-003,3.431791290E-002,7.772059400E+002,1.008784026E-001
2017-06-27T11:14:30.0900000-03:00,4.091000000E+001,3.012290632E-002,1.196039610E-003,3.458380560E-002,7.771980936E+002,1.035348773E-001
2017-06-27T11:14:31.0900000-03:00,4.191000000E+001,3.061407288E-002,1.209880120E-003,3.478333106E-002,7.772075906E+002,1.039824635E-001
2017-06-27T11:14:32.0900000-03:00,4.291000000E+001,2.915172991E-002,1.184515460E-003,3.441679038E-002,7.771851244E+002,1.022369191E-001
2017-06-27T11:14:33.0900000-03:00,4.391000000E+001,2.967054199E-002,1.245970319E-003,3.529830476E-002,7.772073211E+002,1.042579338E-001
2017-06-27T11:14:34.0800000-03:00,4.490000000E+001,3.060547369E-002,1.218859157E-003,3.491216345E-002,7.771980085E+002,1.056095660E-001
2017-06-27T11:14:35.0800000-03:00,4.590000000E+001,3.013651248E-002,1.204675738E-003,3.470843901E-002,7.772239246E+002,1.043945700E-001
2017-06-27T11:14:36.0800000-03:00,4.690000000E+001,2.913252401E-002,1.186328408E-003,3.444311844E-002,7.771868336E+002,1.033606604E-001
2017-06-27T11:14:37.0800000-03:00,4.790000000E+001,2.952712314E-002,1.226899235E-003,3.502712141E-002,7.772013771E+002,1.042469144E-001
2017-06-27T11:14:38.0800000-03:00,4.890000000E+001,2.968558464E-002,1.242719924E-003,3.525223289E-002,7.772050885E+002,1.052411497E-001
2017-06-27T11:14:39.0700000-03:00,4.989000000E+001,3.014308801E-002,1.238100269E-003,3.518664902E-002,7.772086271E+002,1.018245593E-001
2017-06-27T11:14:40.0700000-03:00,5.089000000E+001,2.985496465E-002,1.220855015E-003,3.494073575E-002,7.772100561E+002,1.038378030E-001
2017-06-27T11:14:41.0700000-03:00,5.189000000E+001,2.970909332E-002,1.216641119E-003,3.488038301E-002,7.772037754E+002,1.018963903E-001
2017-06-27T11:14:42.0700000-03:00,5.289000000E+001,2.933487964E-002,1.157170597E-003,3.401721031E-002,7.772132456E+002,1.016822904E-001
2017-06-27T11:14:43.0700000-03:00,5.389000000E+001,2.959483209E-002,1.198369339E-003,3.461747159E-002,7.771951877E+002,1.020812616E-001
2017-06-27T11:14:44.0600000-03:00,5.488000000E+001,2.983882434E-002,1.181820145E-003,3.437761110E-002,7.772049169E+002,1.028133854E-001
2017-06-27T11:14:45.0600000-03:00,5.588000000E+001,2.987312899E-002,1.211071604E-003,3.480045408E-002,7.772019665E+002,1.007803679E-001
2017-06-27T11:14:46.0600000-03:00,5.688000000E+001,2.945766947E-002,1.235850973E-003,3.515467213E-002,7.771983921E+002,1.044502258E-001
2017-06-27T11:14:47.0600000-03:00,5.788000000E+001,2.885245993E-002,1.266149829E-003,3.558299916E-002,7.771849943E+002,1.063104719E-001
2017-06-27T11:14:48.0600000-03:00,5.888000000E+001,3.053265406E-002,1.231767705E-003,3.509654833E-002,7.772150843E+002,1.050630957E-001
2017-06-27T11:14:49.0500000-03:00,5.987000000E+001,3.011982966E-002,1.254577061E-003,3.542000933E-002,7.771969457E+002,1.053545102E-001
2017-06-27T11:14:50.0500000-03:00,6.087000000E+001,2.982361782E-002,1.195380863E-003,3.457428037E-002,7.771995769E+002,1.028169394E-001
2017-06-27T11:14:51.0500000-03:00,6.187000000E+001,2.973360329E-002,1.213718726E-003,3.483846619E-002,7.771993595E+002,1.043369472E-001
2017-06-27T11:14:52.0500000-03:00,6.287000000E+001,2.922905357E-002,1.290458006E-003,3.592294539E-002,7.771715039E+002,1.032727361E-001
2017-06-27T11:14:53.0400000-03:00,6.386000000E+001,2.985706788E-002,1.255385807E-003,3.543142400E-002,7.771914007E+002,1.035334393E-001
2017-06-27T11:14:54.0300000-03:00,6.485000000E+001,2.958633229E-002,1.158761687E-003,3.404058881E-002,7.772014037E+002,1.020104066E-001
2017-06-27T11:14:55.0300000-03:00,6.585000000E+001,2.995399068E-002,1.226927265E-003,3.502752153E-002,7.772089628E+002,1.040191725E-001
2017-06-27T11:14:56.0300000-03:00,6.685000000E+001,2.993269714E-002,1.222166754E-003,3.495950163E-002,7.771981030E+002,1.052060425E-001
2017-06-27T11:14:57.0300000-03:00,6.785000000E+001,3.034006153E-002,1.175301743E-003,3.428267410E-002,7.772029814E+002,1.029201522E-001
2017-06-27T11:14:58.0300000-03:00,6.885000000E+001,2.912465952E-002,1.168012542E-003,3.417619848E-002,7.772032514E+002,1.000574827E-001
2017-06-27T11:14:59.0300000-03:00,6.985000000E+001,2.998539308E-002,1.226307013E-003,3.501866663E-002,7.772116317E+002,1.041847095E-001
2017-06-27T11:15:00.0200000-03:00,7.084000000E+001,2.992261965E-002,1.227717464E-003,3.503879940E-002,7.772123872E+002,1.033009663E-001
2017-06-27T11:15:01.0200000-03:00,7.184000000E+001,2.985343872E-002,1.197008245E-003,3.459780693E-002,7.771847195E+002,1.032847539E-001
2017-06-27T11:15:02.0200000-03:00,7.284000000E+001,2.925393667E-002,1.222482184E-003,3.496401270E-002,7.771947574E+002,1.036087200E-001
2017-06-27T11:15:03.0200000-03:00,7.384000000E+001,3.022198255E-002,1.224631356E-003,3.499473326E-002,7.772074160E+002,1.031214073E-001
2017-06-27T11:15:04.0200000-03:00,7.484000000E+001,2.968238442E-002,1.287894864E-003,3.588725211E-002,7.772012497E+002,1.042314395E-001
2017-06-27T11:15:05.0100000-03:00,7.583000000E+001,3.043214824E-002,1.241212149E-003,3.523084087E-002,7.772102221E+002,1.050838158E-001
2017-06-27T11:15:06.0100000-03:00,7.683000000E+001,3.021332789E-002,1.258123908E-003,3.547004240E-002,7.772081879E+002,1.066786796E-001
2017-06-27T11:15:07.0100000-03:00,7.783000000E+001,2.984016646E-002,1.242491345E-003,3.524899069E-002,7.771893104E+002,1.069624275E-001
2017-06-27T11:15:08.0100000-03:00,7.883000000E+001,3.010346596E-002,1.202945937E-003,3.468351102E-002,7.771968887E+002,1.007375643E-001
2017-06-27T11:15:09.0100000-03:00,7.983000000E+001,2.957795644E-002,1.203420611E-003,3.469035328E-002,7.772037520E+002,1.050053388E-001
2017-06-27T11:15:10.0000000-03:00,8.082000000E+001,3.092674323E-002,1.200621574E-003,3.464998664E-002,7.772194190E+002,1.050666869E-001
2017-06-27T11:15:11.0000000-03:00,8.182000000E+001,2.938695227E-002,1.236264713E-003,3.516055621E-002,7.771933920E+002,1.032395512E-001
2017-06-27T11:15:12.0000000-03:00,8.282000000E+001,2.990937610E-002,1.241369902E-003,3.523307966E-002,7.771925064E+002,1.031254977E-001
2017-06-27T11:15:13.0000000-03:00,8.382000000E+001,2.930495475E-002,1.163721440E-003,3.411336160E-002,7.772087714E+002,1.013192609E-001
2017-06-27T11:15:14.0000000-03:00,8.482000000E+001,2.924728350E-002,1.203130134E-003,3.468616632E-002,7.771927013E+002,1.022912338E-001
2017-06-27T11:15:14.9900000-03:00,8.581000000E+001,3.022130818E-002,1.220016840E-003,3.492873945E-002,7.771885567E+002,1.057915241E-001
2017-06-27T11:15:15.9900000-03:00,8.681000000E+001,2.973506431E-002,1.241364645E-003,3.523300505E-002,7.771976753E+002,1.039531752E-001
2017-06-27T11:15:16.9900000-03:00,8.781000000E+001,2.977150503E-002,1.244151641E-003,3.527253381E-002,7.772082666E+002,1.056750342E-001
2017-06-27T11:15:17.9900000-03:00,8.881000000E+001,3.052553705E-002,1.190505889E-003,3.450370833E-002,7.772064418E+002,1.042672247E-001
2017-06-27T11:15:18.9900000-03:00,8.981000000E+001,2.974692046E-002,1.208209147E-003,3.475930303E-002,7.772098219E+002,1.055795848E-001
2017-06-27T11:15:19.9900000-03:00,9.081000000E+001,2.944214228E-002,1.196279428E-003,3.458727263E-002,7.771953653E+002,1.003688723E-001
2017-06-27T11:15:20.9800000-03:00,9.180000000E+001,3.007317458E-002,1.198628856E-003,3.462121974E-002,7.772157018E+002,1.037072390E-001
2017-06-27T11:15:21.9700000-03:00,9.279000000E+001,2.890058669E-002,1.230219122E-003,3.507447964E-002,7.771947910E+002,1.053068191E-001
2017-06-27T11:15:22.9800000-03:00,9.380000000E+001,2.952370870E-002,1.211129225E-003,3.480128194E-002,7.771938227E+002,1.005155668E-001
2017-06-27T11:15:23.9700000-03:00,9.479000000E+001,2.969776205E-002,1.234309364E-003,3.513273921E-002,7.771915816E+002,1.021108031E-001
2017-06-27T11:15:24.9700000-03:00,9.579000000E+001,2.909250072E-002,1.181368182E-003,3.437103697E-002,7.771938110E+002,1.033218727E-001
2017-06-27T11:15:25.9600000-03:00,9.678000000E+001,2.970504945E-002,1.214762256E-003,3.485343966E-002,7.771939678E+002,1.015790254E-001
2017-06-27T11:15:26.9600000-03:00,9.778000000E+001,2.955674675E-002,1.195351487E-003,3.457385554E-002,7.772087795E+002,1.040863767E-001
2017-06-27T11:15:27.9600000-03:00,9.878000000E+001,2.976711439E-002,1.199833822E-003,3.463861750E-002,7.771978622E+002,1.023552343E-001
2017-06-27T11:15:28.9600000-03:00,9.978000000E+001,2.930047069E-002,1.231798545E-003,3.509698770E-002,7.772028320E+002,1.033276096E-001
2017-06-27T11:15:29.9600000-03:00,1.007800000E+002,2.908105543E-002,1.185080334E-003,3.442499577E-002,7.771893018E+002,1.029367596E-001
2017-06-27T11:15:30.9500000-03:00,1.017700000E+002,3.038270504E-002,1.170345009E-003,3.421030559E-002,7.772170866E+002,1.020955890E-001
2017-06-27T11:15:31.9500000-03:00,1.027700000E+002,3.045384402E-002,1.227512600E-003,3.503587590E-002,7.772134140E+002,1.043184772E-001
2017-06-27T11:15:32.9500000-03:00,1.037700000E+002,2.944959561E-002,1.213883932E-003,3.484083713E-002,7.771988940E+002,1.025493219E-001
2017-06-27T11:15:33.9500000-03:00,1.047700000E+002,2.951177699E-002,1.205642891E-003,3.472236874E-002,7.772039268E+002,1.037436277E-001
2017-06-27T11:15:34.9500000-03:00,1.057700000E+002,2.979700227E-002,1.165443338E-003,3.413859016E-002,7.772025245E+002,1.005803198E-001
2017-06-27T11:15:35.9400000-03:00,1.067600000E+002,2.954543707E-002,1.210268501E-003,3.478891348E-002,7.772091448E+002,1.015300676E-001
2017-06-27T11:15:36.9400000-03:00,1.077600000E+002,2.957188666E-002,1.210710804E-003,3.479526985E-002,7.771858346E+002,1.038709879E-001
2017-06-27T11:15:37.9400000-03:00,1.087600000E+002,2.962520353E-002,1.179628197E-003,3.434571585E-002,7.772127155E+002,1.012189686E-001
2017-06-27T11:15:38.9400000-03:00,1.097600000E+002,2.944277092E-002,1.209521912E-003,3.477818155E-002,7.772012961E+002,1.018807441E-001
2017-06-27T11:15:39.9400000-03:00,1.107600000E+002,3.024963864E-002,1.209754804E-003,3.478152963E-002,7.772152724E+002,1.061412469E-001
,,,,,,
