Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
53.220, 0.000000000E+000, 5.270472714E-004, 3.554245047E-006, 1.885270550E-003, 3.332354730E+002, -2.661954379E-003, 8.211261593E-003, 1.935286793E-003
53.320, 1.000000000E-001, 1.080134745E-003, 3.691969449E-006, 1.921449830E-003, 3.330836076E+002, -2.026194008E-003, 9.414251894E-003, 2.183715293E-003
53.420, 2.000000000E-001, 1.881900456E-004, 2.743837649E-006, 1.656453334E-003, 3.328508838E+002, -2.439651405E-003, 8.193801157E-003, 1.646915381E-003
53.520, 3.000000000E-001, 5.043573036E-004, 3.355442079E-006, 1.831786581E-003, 3.330586536E+002, -3.070015227E-003, 8.046956733E-003, 1.878291329E-003
53.620, 4.000000000E-001, 5.120064153E-004, 3.098767358E-006, 1.760331605E-003, 3.327173664E+002, -3.192122560E-003, 7.060542237E-003, 1.812550202E-003
53.720, 5.000000000E-001, 6.220806010E-004, 2.870583574E-006, 1.694279662E-003, 3.329473577E+002, -1.618597191E-003, 7.200277876E-003, 1.785372122E-003
53.820, 6.000000000E-001, -1.480377090E-004, 3.918667770E-006, 1.979562520E-003, 3.326771500E+002, -2.902826294E-003, 8.600215428E-003, 1.960868601E-003
53.920, 7.000000000E-001, 9.393230533E-004, 2.515211135E-006, 1.585941719E-003, 3.328535806E+002, -2.584910952E-003, 7.177804597E-003, 1.826524656E-003
54.020, 8.000000000E-001, 4.986040393E-004, 3.934718833E-006, 1.983612571E-003, 3.333455770E+002, -3.844150575E-003, 9.250762872E-003, 2.021721066E-003
54.120, 9.000000000E-001, 2.843326777E-004, 2.169066308E-006, 1.472775037E-003, 3.327458115E+002, -2.566033741E-003, 6.282047369E-003, 1.482230523E-003
54.220, 1.000000000E+000, 1.370732986E-004, 3.263364553E-006, 1.806478495E-003, 3.330837777E+002, -2.724304097E-003, 7.640680764E-003, 1.789569609E-003
54.320, 1.100000000E+000, 1.948843347E-004, 2.943798630E-006, 1.715750165E-003, 3.328405721E+002, -2.888941439E-003, 6.122932304E-003, 1.705865929E-003
54.420, 1.200000000E+000, 3.450632277E-004, 3.740357186E-006, 1.934000307E-003, 3.330778173E+002, -2.577825217E-003, 9.709131904E-003, 1.941184585E-003
54.520, 1.300000000E+000, 7.011433753E-004, 4.470109941E-006, 2.114263451E-003, 3.329519178E+002, -2.452682238E-003, 1.026158966E-002, 2.202881046E-003
54.620, 1.400000000E+000, 1.435176387E-004, 3.497842107E-006, 1.870251883E-003, 3.331571458E+002, -2.677107463E-003, 9.122914635E-003, 1.852869720E-003
54.720, 1.500000000E+000, 6.718973805E-004, 3.317403433E-006, 1.821374051E-003, 3.330676382E+002, -1.918269554E-003, 8.495837450E-003, 1.920400282E-003
54.820, 1.600000000E+000, 8.992015394E-004, 3.540839501E-006, 1.881711854E-003, 3.331980373E+002, -2.021513181E-003, 9.742476977E-003, 2.064713290E-003
54.920, 1.700000000E+000, 6.216295132E-004, 2.620860137E-006, 1.618907081E-003, 3.331669663E+002, -2.466174541E-003, 7.542797364E-003, 1.715622327E-003
55.020, 1.800000000E+000, 3.016709180E-004, 3.352048008E-006, 1.830859909E-003, 3.324436537E+002, -3.073523287E-003, 8.859775029E-003, 1.833383779E-003
55.120, 1.900000000E+000, 2.569080119E-005, 4.028781192E-006, 2.007182401E-003, 3.331492697E+002, -3.908796236E-003, 9.028800763E-003, 1.982719913E-003
55.220, 2.000000000E+000, 5.050253254E-004, 4.254234939E-006, 2.062579681E-003, 3.330373128E+002, -2.030710923E-003, 1.057276875E-002, 2.098933941E-003
55.320, 2.100000000E+000, 1.632810094E-004, 4.088365293E-006, 2.021970646E-003, 3.332039898E+002, -3.190551419E-003, 9.174808860E-003, 2.003823783E-003
55.420, 2.200000000E+000, 2.371680128E-004, 2.984160355E-006, 1.727472244E-003, 3.327082511E+002, -2.282137051E-003, 7.730401121E-003, 1.722679489E-003
55.520, 2.300000000E+000, 2.645787440E-004, 3.982878870E-006, 1.995715127E-003, 3.328837840E+002, -2.689948073E-003, 8.484723046E-003, 1.988903566E-003
55.620, 2.400000000E+000, 9.474036934E-004, 2.647350393E-006, 1.627068036E-003, 3.332815888E+002, -1.480720239E-003, 7.876890711E-003, 1.865570859E-003
55.720, 2.500000000E+000, 7.581644510E-004, 3.346951865E-006, 1.829467645E-003, 3.327785961E+002, -2.844738541E-003, 8.948979899E-003, 1.959625532E-003
55.820, 2.600000000E+000, 1.303129353E-003, 2.875931252E-006, 1.695857085E-003, 3.330085036E+002, -8.494989597E-004, 9.236330166E-003, 2.122247087E-003
55.920, 2.700000000E+000, 4.009544938E-004, 3.312211161E-006, 1.819948120E-003, 3.329338681E+002, -2.557198750E-003, 7.942198776E-003, 1.841789898E-003
56.020, 2.800000000E+000, 8.449123495E-005, 2.724348392E-006, 1.650560024E-003, 3.333635935E+002, -3.788903821E-003, 6.630581804E-003, 1.632494912E-003
56.120, 2.900000000E+000, 3.173477384E-004, 3.026974999E-006, 1.739820393E-003, 3.330203020E+002, -2.716784831E-003, 7.239498664E-003, 1.747528520E-003
56.220, 3.000000000E+000, 1.020415593E-004, 3.764278777E-006, 1.940174935E-003, 3.326822485E+002, -3.683012910E-003, 7.927611470E-003, 1.919083005E-003
56.320, 3.100000000E+000, 9.159891239E-004, 2.100754502E-006, 1.449397979E-003, 3.332226029E+002, -1.532511786E-003, 7.067583967E-003, 1.699574259E-003
56.420, 3.200000000E+000, 1.293312102E-003, 3.699212100E-006, 1.923333590E-003, 3.330728957E+002, -1.595370704E-003, 9.437023662E-003, 2.298182675E-003
56.520, 3.300000000E+000, 6.981081866E-004, 4.158842016E-006, 2.039323912E-003, 3.333485573E+002, -2.574170940E-003, 1.054463349E-002, 2.131844714E-003
56.620, 3.400000000E+000, 4.841228225E-004, 2.825766835E-006, 1.681001736E-003, 3.328407960E+002, -2.290620236E-003, 6.691496819E-003, 1.729514556E-003
56.720, 3.500000000E+000, 2.496243284E-004, 3.327017211E-006, 1.824011297E-003, 3.330975592E+002, -3.170965938E-003, 7.952223532E-003, 1.818841047E-003
56.820, 3.600000000E+000, 3.061380516E-004, 2.275628514E-006, 1.508518649E-003, 3.328793746E+002, -2.283964772E-003, 7.374973968E-003, 1.521133093E-003
56.920, 3.700000000E+000, 3.788488464E-004, 3.042681898E-006, 1.744328495E-003, 3.329554967E+002, -3.208474256E-003, 7.776547689E-003, 1.764085200E-003
57.020, 3.800000000E+000, 9.497561653E-005, 2.948560068E-006, 1.717137172E-003, 3.329672165E+002, -2.323766006E-003, 7.476660889E-003, 1.698724326E-003
57.120, 3.900000000E+000, 3.193446429E-004, 3.527882332E-006, 1.878265778E-003, 3.327731436E+002, -3.690968733E-003, 8.700945415E-003, 1.882502967E-003
57.220, 4.000000000E+000, 6.868725805E-004, 3.948953358E-006, 1.987197363E-003, 3.330684866E+002, -2.867577365E-003, 8.656837977E-003, 2.079526716E-003
