Timestamp, Time, Mean, Variance, SDeviation, Weighted, Min, Max, RootMeanSquare
43.0900, 0.000000000E+000, -7.517366592E-006, 4.331019087E-006, 2.081110061E-003, 4.729015593E+002, -4.451781511E-003, 9.783093818E-003, 2.057870435E-003
43.1900, 1.000000000E-001, 1.661168302E-004, 2.983613073E-006, 1.727313832E-003, 4.729703036E+002, -1.752119162E-003, 9.667097591E-003, 1.716072656E-003
43.2900, 2.000000000E-001, 4.692358983E-004, 4.019796067E-006, 2.004942909E-003, 4.727790324E+002, -2.268023556E-003, 1.139422599E-002, 2.037314309E-003
43.3900, 3.000000000E-001, 1.860126621E-004, 3.496756124E-006, 1.869961530E-003, 4.723958996E+002, -4.820239265E-003, 9.525442496E-003, 1.858400157E-003
43.4900, 4.000000000E-001, 8.771633203E-004, 4.060296025E-006, 2.015017624E-003, 4.731959868E+002, -2.274433151E-003, 1.154798921E-002, 2.177035304E-003
43.5900, 5.000000000E-001, 3.850541250E-004, 4.459126880E-006, 2.111664481E-003, 4.729375565E+002, -2.475348068E-003, 1.134872623E-002, 2.123276207E-003
43.6900, 6.000000000E-001, 6.011097784E-004, 4.166236584E-006, 2.041136101E-003, 4.729317905E+002, -3.073190572E-003, 1.148331631E-002, 2.105940767E-003
43.7900, 7.000000000E-001, 5.045337329E-004, 3.004431018E-006, 1.733329460E-003, 4.726844007E+002, -2.600797918E-003, 8.406391367E-003, 1.786678531E-003
43.8900, 8.000000000E-001, 8.410974923E-004, 3.730564796E-006, 1.931467006E-003, 4.726006792E+002, -2.826195676E-003, 9.262890555E-003, 2.086889635E-003
43.9900, 9.000000000E-001, 5.831911370E-004, 3.173961614E-006, 1.781561566E-003, 4.728715765E+002, -2.842324320E-003, 9.248260409E-003, 1.855678053E-003
44.0900, 1.000000000E+000, -5.322291949E-005, 4.074010898E-006, 2.018417920E-003, 4.724984943E+002, -3.721093759E-003, 9.214781225E-003, 1.996574567E-003
44.1900, 1.100000000E+000, 3.538216115E-004, 2.124130244E-006, 1.457439619E-003, 4.731743732E+002, -1.772114192E-003, 7.670143154E-003, 1.483953194E-003
44.2900, 1.200000000E+000, 7.233259499E-004, 3.628137549E-006, 1.904767059E-003, 4.731468598E+002, -1.823719125E-003, 9.132121690E-003, 2.017600729E-003
44.3900, 1.300000000E+000, 3.482971726E-004, 2.704038673E-006, 1.644396142E-003, 4.737769771E+002, -2.581788693E-003, 8.349661715E-003, 1.662907047E-003
44.4900, 1.400000000E+000, 1.520137490E-004, 3.312789905E-006, 1.820107114E-003, 4.737151638E+002, -2.668134170E-003, 9.483942762E-003, 1.806178433E-003
44.5900, 1.500000000E+000, 4.467958969E-004, 3.461975559E-006, 1.860638482E-003, 4.732206025E+002, -2.085197717E-003, 1.087233424E-002, 1.893322303E-003
44.6900, 1.600000000E+000, 8.278577249E-004, 3.911983456E-006, 1.977873468E-003, 4.728888990E+002, -3.013738664E-003, 1.121417340E-002, 2.123769974E-003
44.7900, 1.700000000E+000, -4.812477305E-005, 4.753773156E-006, 2.180314921E-003, 4.730919230E+002, -4.899704829E-003, 1.104463916E-002, 2.156490145E-003
44.8900, 1.800000000E+000, 4.691660025E-005, 4.152964556E-006, 2.037882370E-003, 4.726208930E+002, -2.544322750E-003, 1.082690526E-002, 2.015658111E-003
44.9900, 1.900000000E+000, 6.148743762E-005, 3.505092908E-006, 1.872189336E-003, 4.730336651E+002, -2.536920598E-003, 1.023562904E-002, 1.852291192E-003
45.0900, 2.000000000E+000, 2.866921257E-004, 3.978545952E-006, 1.994629277E-003, 4.733064652E+002, -1.567260246E-003, 1.139477175E-002, 1.993069541E-003
45.1900, 2.100000000E+000, 3.124654762E-004, 3.249336024E-006, 1.802591474E-003, 4.729377060E+002, -2.946553985E-003, 8.469933644E-003, 1.809630689E-003
45.2900, 2.200000000E+000, 7.867735610E-004, 3.431729039E-006, 1.852492655E-003, 4.728837243E+002, -1.554621267E-003, 1.093642320E-002, 1.993610050E-003
45.3900, 2.300000000E+000, 5.315899138E-004, 3.017008729E-006, 1.736953865E-003, 4.729198315E+002, -1.715606195E-003, 9.159668349E-003, 1.797929900E-003
